#,Song,BPM,Camelot
1,Levitating (feat. DaBaby),103,11A
2,greedy,111,11A
3,What Makes You Beautiful,125,12B
4,Cheap Thrills (feat. Sean Paul),90,11A
5,That's What I Like,134,3B
6,Classic,102,3B
7,Wild Ones (feat. Sia),127,4A
8,Rather Be (feat. Jess Glynne),121,1B
9,Feel This Moment (feat. Christina Aguilera),136,9B
10,Bang Bang,150,5A
11,24K Magic,107,3B
12,Don't Stop the Party (feat. TJR),127,12B
13,Pompeii,127,11B
14,Closer,95,4B
15,Uma Thurman,150,9A
16,Heat Waves,81,1B
17,Timber (feat. Ke$ha),130,1B
18,Die Young,128,12A
19,Dynamite,120,12B
20,Me And My Broken Heart,174,4A
21,Sunroof,131,6B
22,All Falls Down,98,3B
23,Symphony (feat. Zara Larsson),123,5A
24,International Love (feat. Chris Brown),120,5A
25,Umbrella,174,3B
26,Sweet but Psycho,133,3B
27,Counting Stars,122,12A
28,Drag Me Down,138,5A
29,Stereo Hearts (feat. Adam Levine),90,11B
30,Maps,120,12A
31,Hips Don't Lie (feat. Wyclef Jean),100,3A
32,Am I Wrong,120,4B
33,Rockabye (feat. Sean Paul & Anne-Marie),102,8A
34,Something Just Like This,103,10A
35,Can't Hold Us (feat. Ray Dalton),146,10B
36,A Night To Remember,115,7A
37,Get Up,85,7B
38,More - RedOne Jimmy Joker Remix,125,9B
39,Goodbye Yellow Brick Road - Remastered 2014,121,7B
40,Sweater Weather,124,6B
41,Can't Help Falling in Love,100,10B
42,Here With Me,132,12B
43,Put Your Head On My Shoulder - Remastered,110,9B
44,My Love Mine All Mine,114,11B
45,Feel It Still,79,12A
46,Snowman,105,3B
47,Attention,100,2A
48,Ella Baila Sola,148,4A
49,Macarena - Bayside Boys Remix,103,3B
