#,Song,BPM,Camelot
1,Dragostea Din Tei,130,8B
2,Written In The Stars,128,2A
3,Famous,130,6B
4,All For You,110,5A
5,Don't Let Me Down,160,1B
6,Our Song,81,10A
7,On The Floor,130,2A
8,Standing Still,105,8B
9,Magic,150,6A
10,Hymn for the Weekend,90,5A
11,BOOM,123,10B
12,Just a Little,124,6A
13,A Little Party Never Killed Nobody (All We Got),130,4A
14,Strongest (Alan Walker Remix),92,8B
15,Cry Like Kim K (with Lisa Ajax),125,5B
16,Follow You,154,11B
17,Jazz Hands,108,4B
18,Save Myself,147,11B
19,Bad (feat. Vassy) - Radio Edit,128,4A
20,Dusk Till Dawn (feat. Sia) - Radio Edit,180,10A
21,Évidemment,120,1B
22,All Falls Down,98,3B
23,Viva La Vida,138,4A
24,Wasted Love,125,6B
25,Kill Bill,89,4B
26,Murder In My Mind,120,6B
27,I Like It,136,4A
28,Ego - Radio Edit,100,3A
29,Pretender,103,4A
30,#SELFIE,128,8B
31,Midnight Sadness,100,2A
32,Ticking,150,10B
33,Another Love,123,9A
34,Into Your Eyes,124,4A
35,Stereo Hearts (feat. Adam Levine),90,11B
36,Back to You,123,4B
37,I Don’t Wanna Live Forever (Fifty Shades Darker),118,8B
38,Purple Lamborghini (with Rick Ross),147,3A
39,Move Your Body - RAIZHELL Remix,125,11A
40,Dangerously,112,7A
41,Paradise,149,5A
42,We're Good,134,2B
43,We Could Be Together,126,6B
44,Barbie World (with Aqua) [From Barbie The Album],144,8B
45,Young And Beautiful,115,10A
46,Elastic Heart,130,11B
47,Let Me Go,95,4B
48,Ain't Your Mama,120,1A
49,golden hour,94,12B
50,Pretty Girls Walk,90,11B
51,Mary On A Cross,130,1B
52,Stereo Love,127,11B
53,She Doesn't Mind,120,6A
54,Goodbye Yellow Brick Road - Remastered 2014,121,7B
55,Lost Control,92,12B
56,Coochie Anthem,125,10B
57,Snowblind,138,11A
58,Someone To You,75,10B
59,Rather Be (feat. Jess Glynne),121,1B
60,I Hear a Symphony,76,5B
61,In My Head (feat. Eric Lumiere),126,6A
62,Call Me Up,125,12A
63,Paparazzi,115,4A
64,Heart Attack,174,4B
65,JUMPIN,118,11B
66,PYRO,126,3B
67,Locked Away (feat. Adam Levine),118,3B
68,Do Or Die,176,3A
69,Beautiful Now,128,10A
70,Boneless,128,10A
71,Outside (feat. Ellie Goulding),128,7A
72,One More Night,105,12A
73,STUPID HEART,130,4B
74,Delilah,134,12A
75,Get Low,101,3B
76,Eenie Meenie,121,3B
77,For The Love,108,11A
78,Keep You Mine,136,6B
79,Tired - Axollo Remix,124,10B
80,Anaconda,130,11B
81,Sweet but Psycho,133,3B
82,Let You Go - Tungevaag Edit,126,10A
83,Friday Song,124,12B
84,The Passenger (LaLaLa) [feat. MOKABY],125,5A
85,Uma Thurman,150,9A
86,New Thang,100,8B
87,Lighthouse,93,5A
88,Buttons,211,10B
89,Lie to Me,106,2B
90,Fancy Like,80,3B
91,STUPID (feat. Yung Baby Tate),150,10B
92,Bright Side (feat. Cosmos & Creature),115,2B
93,Flowers,118,8B
94,Lone Digger,124,4A
95,That's My Girl,202,4A
96,Coochie Anthem - Dillon’s Version VIP,125,10A
97,Cupid - Twin Ver.,120,10A
98,Alejandro,99,10A
99,Run Away (Deep),100,12B
100,Blood // Water,154,11A
